iter	Passed	Remaining
609	13291	8498
610	13313	8476
611	13336	8455
612	13358	8433
613	13379	8411
614	13401	8389
615	13423	8367
616	13445	8345
617	13467	8324
618	13488	8302
619	13510	8280
620	13532	8258
621	13554	8237
622	13575	8215
623	13597	8193
624	13619	8171
625	13640	8149
626	13662	8127
627	13684	8106
628	13705	8083
629	13727	8062
630	13749	8040
631	13771	8018
632	13793	7997
633	13815	7975
634	13836	7953
635	13858	7931
636	13880	7909
637	13902	7888
638	13923	7866
639	13945	7844
640	13967	7822
641	13989	7800
642	14011	7779
643	14032	7757
644	14054	7735
645	14077	7714
646	14098	7692
647	14120	7670
648	14142	7648
649	14164	7626
650	14186	7605
651	14208	7583
652	14230	7562
653	14253	7540
654	14274	7518
655	14296	7496
656	14318	7475
657	14340	7453
658	14363	7432
659	14384	7410
660	14406	7388
661	14428	7366
662	14451	7345
663	14473	7323
664	14494	7301
665	14516	7280
666	14538	7258
667	14560	7236
668	14582	7214
669	14604	7193
670	14626	7171
671	14648	7149
672	14670	7128
673	14692	7106
674	14714	7084
675	14735	7062
676	14757	7040
677	14780	7019
678	14802	6998
679	14825	6976
680	14847	6955
681	14870	6933
682	14891	6911
683	14914	6890
684	14935	6868
685	14958	6846
686	14980	6825
687	15002	6803
688	15024	6781
689	15046	6759
690	15068	6738
691	15090	6716
692	15112	6694
693	15134	6672
694	15155	6651
695	15177	6629
696	15199	6607
697	15221	6585
698	15244	6564
699	15266	6542
700	15288	6521
701	15310	6499
702	15332	6477
703	15354	6455
704	15376	6434
705	15398	6412
706	15421	6391
707	15443	6369
708	15465	6347
709	15486	6325
710	15508	6303
711	15530	6282
712	15553	6260
713	15574	6238
714	15597	6217
715	15619	6195
716	15641	6173
717	15663	6151
718	15685	6130
719	15708	6109
720	15731	6087
721	15753	6065
722	15774	6043
723	15799	6022
724	15821	6001
725	15843	5979
726	15865	5957
727	15886	5935
728	15908	5913
729	15930	5892
730	15952	5870
731	15974	5848
732	15995	5826
733	16017	5804
734	16038	5782
735	16060	5760
736	16083	5739
737	16105	5717
738	16127	5695
739	16148	5673
740	16170	5652
741	16192	5630
742	16214	5608
743	16236	5586
744	16258	5564
745	16279	5543
746	16302	5521
747	16323	5499
748	16345	5477
749	16367	5455
750	16389	5434
751	16411	5412
752	16433	5390
753	16455	5368
754	16477	5346
755	16499	5325
756	16524	5304
757	16546	5282
758	16568	5260
759	16590	5238
760	16611	5217
761	16634	5195
762	16656	5173
763	16678	5152
764	16700	5130
765	16722	5108
766	16744	5086
767	16766	5064
768	16788	5043
769	16811	5021
770	16833	4999
771	16855	4978
772	16877	4956
773	16899	4934
774	16921	4912
775	16942	4890
776	16964	4868
777	16986	4847
778	17008	4825
779	17029	4803
780	17051	4781
781	17073	4759
782	17095	4737
783	17117	4716
784	17139	4694
785	17161	4672
786	17183	4650
787	17205	4629
788	17227	4607
789	17249	4585
790	17271	4563
791	17294	4541
792	17316	4520
793	17338	4498
794	17360	4476
795	17382	4454
796	17403	4432
797	17426	4411
798	17447	4389
799	17469	4367
800	17491	4345
801	17513	4323
802	17535	4302
803	17557	4280
804	17578	4258
805	17600	4236
806	17623	4214
807	17645	4192
808	17667	4171
809	17689	4149
810	17710	4127
811	17732	4105
812	17755	4083
813	17777	4062
814	17800	4040
815	17822	4018
816	17843	3996
817	17866	3975
818	17888	3953
819	17910	3931
820	17932	3909
821	17953	3887
822	17976	3866
823	17998	3844
824	18020	3822
825	18042	3800
826	18063	3778
827	18086	3757
828	18108	3735
829	18130	3713
830	18152	3691
831	18174	3669
832	18196	3648
833	18218	3626
834	18240	3604
835	18262	3582
836	18284	3560
837	18305	3538
838	18328	3517
839	18350	3495
840	18371	3473
841	18393	3451
842	18415	3429
843	18437	3407
844	18459	3386
845	18481	3364
846	18503	3342
847	18524	3320
848	18546	3298
849	18568	3276
850	18590	3254
851	18612	3233
852	18634	3211
853	18656	3189
854	18678	3167
855	18699	3145
856	18722	3123
857	18744	3102
858	18768	3080
859	18790	3058
860	18812	3037
861	18834	3015
862	18856	2993
863	18878	2971
864	18900	2949
865	18922	2927
866	18944	2906
867	18965	2884
868	18987	2862
869	19009	2840
870	19031	2818
871	19053	2796
872	19075	2775
873	19098	2753
874	19119	2731
875	19142	2709
876	19164	2687
877	19186	2666
878	19208	2644
879	19229	2622
880	19251	2600
881	19273	2578
882	19296	2556
883	19317	2534
884	19339	2513
885	19361	2491
886	19383	2469
887	19406	2447
888	19427	2425
889	19449	2403
890	19471	2382
891	19493	2360
892	19515	2338
893	19536	2316
894	19558	2294
895	19580	2272
896	19602	2250
897	19624	2229
898	19645	2207
899	19667	2185
900	19689	2163
901	19711	2141
902	19732	2119
903	19755	2097
904	19778	2076
905	19799	2054
906	19821	2032
907	19843	2010
908	19865	1988
909	19886	1966
910	19908	1944
911	19931	1923
912	19953	1901
913	19975	1879
914	19997	1857
915	20019	1835
916	20041	1814
917	20063	1792
918	20085	1770
919	20107	1748
920	20129	1726
921	20151	1704
922	20172	1682
923	20194	1661
924	20216	1639
925	20238	1617
926	20260	1595
927	20281	1573
928	20303	1551
929	20325	1529
930	20347	1508
931	20368	1486
932	20391	1464
933	20413	1442
934	20435	1420
935	20457	1398
936	20479	1376
937	20500	1355
938	20522	1333
939	20544	1311
940	20566	1289
941	20588	1267
942	20609	1245
943	20631	1223
944	20653	1202
945	20675	1180
946	20697	1158
947	20719	1136
948	20741	1114
949	20764	1092
950	20786	1071
951	20808	1049
952	20830	1027
953	20852	1005
954	20874	983
955	20897	961
956	20919	939
957	20942	918
958	20964	896
959	20986	874
960	21008	852
961	21030	830
962	21052	808
963	21074	787
964	21096	765
965	21118	743
966	21140	721
967	21162	699
968	21184	677
969	21206	655
970	21228	634
971	21250	612
972	21272	590
973	21294	568
974	21316	546
975	21338	524
976	21361	502
977	21383	481
978	21405	459
979	21427	437
980	21449	415
981	21471	393
982	21493	371
983	21515	349
984	21537	327
985	21559	306
986	21581	284
987	21603	262
988	21625	240
989	21647	218
990	21669	196
991	21691	174
992	21713	153
993	21735	131
994	21758	109
995	21781	87
996	21803	65
997	21827	43
998	21848	21
999	21870	0
